LOCUTORES,OPERADOR,Duración,Hora
Apertura,0) Tropero y acordeonista - Los Nuñez (Juan Nuñez - Marcos Nuñez),0:04:51,20:04:00
Presentación del siguiente tema,,0:00:45,20:04:45
,¡PEGAR AQUÍ EL TXT!,00:00:00,20:04:45
Presentación del siguiente tema,,00:00:00,20:04:45
,,00:00:00,20:04:45
Presentación del siguiente tema,,00:00:45,20:05:30
,,00:00:00,20:05:30
Presentación del siguiente tema,,00:00:45,20:06:15
,,00:00:00,20:06:15
ESPACIO,ESPACIO,,A FAVOR
PUBLICITARIO,PUBLICITARIO,,0:23:45
"Saludos, recordación de la temática",,00:00:00,20:34:00
,05) Nombre del tema - Intérpretes (AutorL - AutorM),00:00:00,20:34:00
Presentación del siguiente tema,,00:00:00,20:34:00
,,00:00:00,20:34:00
Presentación del siguiente tema,,00:00:00,20:34:00
,,00:00:00,20:34:00
Presentación del siguiente tema,,00:00:00,20:34:00
,,00:00:00,20:34:00
Presentación del siguiente tema,,00:00:00,20:34:00
,,00:00:00,20:34:00
Presentación del siguiente tema,,00:00:00,20:34:00
,,00:00:00,20:34:00
Presentación del siguiente tema,,00:00:00,20:34:00
,,00:00:00,20:34:00
Presentación del siguiente tema,,00:00:00,20:34:00
,,00:00:00,20:34:00
"Saludos, recordatorios y despedida",,00:00:45,20:34:45
,,A FAVOR,0:25:15